Artist,Name,Link,Danceability,Energy,Speechiness,Acousticness,Liveness,Valence
Jah Stitch,Zion Gate / Every Wicked Have To Crawl,https://open.spotify.com/track/7F0hr4stSBe0xxXsKERqWR,0.7,0.372,0.191,0.0375,0.122,0.616
Various Artists,Wear Yu Size,https://open.spotify.com/track/4eMHu7VXJxl5B63vTyC1ZC,0.761,0.366,0.318,0.0321,0.0673,0.669
UB40,You Haven't Called,https://open.spotify.com/track/2Y5QlBOIuDsVBrV7ynzEyu,0.791,0.609,0.0427,0.0665,0.117,0.955
I-Roy,Hospital Trolley,https://open.spotify.com/track/0C5ntvqEMVT2O8h7ivvQir,0.791,0.691,0.301,0.319,0.054,0.775
Freddie McGregor,Just Don't Want To Be Lonely,https://open.spotify.com/track/2ziyDNK8wnGpVwzZjbrAgf,0.641,0.5,0.0325,0.239,0.372,0.883
Jimmy Cliff,We All Are One,https://open.spotify.com/track/7n3mgZL0LF13ZViWYifLLy,0.8,0.485,0.0355,0.0591,0.0379,0.714
Konshens,Show Yourself,https://open.spotify.com/track/3wsF7hEjnnht0Zw2RhrKUN,0.871,0.88,0.296,0.106,0.0853,0.894
Mega Banton,Sound Boy Killing,https://open.spotify.com/track/0oWXTZlPbMNRJb0ulLV042,0.552,0.451,0.38,0.00202,0.0504,0.914
Eek-A-Mouse,Wa-Do-Dem,https://open.spotify.com/track/7578oiL9J6tFHXEjfCXFAS,0.855,0.602,0.0595,0.376,0.167,0.81
Various Artists,Jail House Set Me Free,https://open.spotify.com/track/7tCk3r6fLz0UmMfP0q6D4D,0.697,0.792,0.0333,0.0348,0.155,0.931
The Twinkle Brothers,Get Behind Me Satan,https://open.spotify.com/track/0SzRD5oJD132UyxLIAkCo2,0.765,0.761,0.0485,0.00166,0.096,0.546
Charly Black,Fiesta - Main Mix,https://open.spotify.com/track/62VPiAnKZ3GM0LuNscNYwQ,0.673,0.849,0.0377,0.0827,0.198,0.731
Various Artists,Forgive Them,https://open.spotify.com/track/71xcQJ9eaasotxpb2Y768o,0.562,0.654,0.0406,0.156,0.763,0.939
Various Artists,Fred Locks a Dreadlocks,https://open.spotify.com/track/0nEDqMjAnOoVeg7dMftdog,0.643,0.544,0.253,0.0171,0.118,0.676
Herbs,Sensitive To A Smile,https://open.spotify.com/track/1YiDQdpcfon2Pjya79rccr,0.441,0.747,0.0876,0.121,0.0809,0.482
Various Artists,Chatty Mouth,https://open.spotify.com/track/18BjbDamyd8ykCvio9nhaY,0.62,0.679,0.232,0.214,0.0929,0.707
Anthony Johnson,I'm Coming Home,https://open.spotify.com/track/3mtikn9ZhPALU3yJukaxn6,0.762,0.475,0.0681,0.221,0.248,0.584
Papa Michigan & General Smiley,Living In Babylon,https://open.spotify.com/track/3n0J83RuDNHpAjfVFkTn4g,0.785,0.35,0.159,0.0429,0.17,0.535
Various Artists,River Jordan,https://open.spotify.com/track/2up28bZlSptri9mUQNPSsD,0.835,0.82,0.0638,0.201,0.0674,0.858
Various Artists,Ghetto People Song,https://open.spotify.com/track/6S2ZvX8SQuPcw2hvhJsdBh,0.809,0.639,0.215,0.023,0.0926,0.875
